;0;300;600;900;1200;1500;1800;2100;2400;2700
366,500000;0,015432;0,017145;0,021267;0,022746;0,027006;0,028616;0,032066;0,034308;0,039484;0,041223
367,000000;0,015906;0,016538;0,020560;0,022133;0,028003;0,029073;0,031201;0,033760;0,038250;0,041630
367,500000;0,016468;0,016499;0,020471;0,022165;0,027416;0,029122;0,030403;0,034397;0,037939;0,041595
368,000000;0,016510;0,016507;0,020499;0,022358;0,025807;0,028418;0,029962;0,034776;0,037575;0,040389
368,500000;0,016340;0,016197;0,020217;0,022307;0,025177;0,027617;0,030505;0,033737;0,036090;0,038635
369,000000;0,015612;0,015317;0,019151;0,021750;0,024671;0,026419;0,030436;0,032208;0,034740;0,037503
369,500000;0,014444;0,014186;0,017762;0,020628;0,023725;0,025065;0,028996;0,030993;0,033995;0,036934
370,000000;0,013781;0,013815;0,017665;0,019215;0,022997;0,024731;0,027312;0,030144;0,032698;0,035235
370,500000;0,013903;0,014159;0,018291;0,018421;0,022790;0,024893;0,026608;0,029860;0,031396;0,033607
371,000000;0,014357;0,014401;0,018008;0,018893;0,022899;0,024208;0,027364;0,030018;0,031172;0,033926
371,500000;0,013641;0,013487;0,016681;0,018772;0,022269;0,022517;0,027301;0,028782;0,030826;0,033394
372,000000;0,011926;0,011605;0,015088;0,017225;0,020805;0,020820;0,025465;0,025986;0,029753;0,030990
372,500000;0,012269;0,010919;0,014733;0,016044;0,020175;0,021284;0,024095;0,024686;0,029171;0,030280
373,000000;0,013323;0,011267;0,014907;0,015567;0,019722;0,022273;0,023438;0,024747;0,028656;0,030904
373,500000;0,011663;0,011022;0,013911;0,015020;0,017859;0,020544;0,022483;0,024075;0,027023;0,030063
374,000000;0,010373;0,010366;0,013333;0,014310;0,017277;0,018966;0,022216;0,023404;0,025781;0,028518
374,500000;0,011658;0,009923;0,014142;0,013837;0,019125;0,019712;0,022956;0,023569;0,025993;0,027609
375,000000;0,012343;0,010027;0,014277;0,014406;0,019292;0,020126;0,022664;0,023893;0,026288;0,027592
375,500000;0,011619;0,010217;0,013362;0,015129;0,017506;0,019229;0,021155;0,023380;0,025795;0,027932
376,000000;0,010918;0,009621;0,012494;0,014192;0,016629;0,017904;0,019880;0,021340;0,024444;0,027630
376,500000;0,010271;0,008632;0,011528;0,012835;0,016309;0,017055;0,019552;0,019496;0,023063;0,026218
377,000000;0,009451;0,007876;0,010437;0,012388;0,015616;0,017039;0,019888;0,019265;0,022437;0,024123
377,500000;0,008791;0,007451;0,010379;0,011917;0,014929;0,017001;0,019078;0,019451;0,022477;0,023185
378,000000;0,008647;0,007541;0,011235;0,011289;0,014600;0,016672;0,017659;0,019466;0,022402;0,023524
378,500000;0,009153;0,008283;0,011640;0,011228;0,014677;0,016379;0,018058;0,019550;0,021174;0,023616
379,000000;0,009265;0,008360;0,011057;0,011063;0,014413;0,015543;0,018996;0,019250;0,019740;0,023085
379,500000;0,008338;0,007024;0,009844;0,010227;0,013478;0,014060;0,018678;0,018290;0,019306;0,022317
380,000000;0,008025;0,006542;0,009679;0,009968;0,013447;0,013997;0,018076;0,017615;0,019608;0,022332
380,500000;0,008670;0,007402;0,010349;0,010344;0,014294;0,015120;0,017544;0,017372;0,020066;0,022538
381,000000;0,008859;0,007742;0,009652;0,009974;0,014084;0,014642;0,016416;0,016735;0,020063;0,020863
381,500000;0,008312;0,007386;0,008536;0,009384;0,012938;0,013387;0,015508;0,016057;0,019432;0,018928
382,000000;0,007469;0,006918;0,008734;0,009432;0,011902;0,013208;0,015644;0,015935;0,018376;0,019023
382,500000;0,007079;0,006509;0,009464;0,009014;0,011522;0,013432;0,015390;0,015844;0,017498;0,019831
383,000000;0,007180;0,006020;0,009657;0,008097;0,011480;0,013098;0,014353;0,015329;0,016936;0,019912
383,500000;0,007005;0,005151;0,008656;0,008293;0,010711;0,011706;0,013920;0,014368;0,016231;0,018709
384,000000;0,007201;0,004854;0,007566;0,009273;0,010223;0,010919;0,014496;0,013759;0,015564;0,017308
384,500000;0,008481;0,006055;0,007793;0,009703;0,011353;0,012424;0,015535;0,014305;0,015453;0,017161
385,000000;0,008841;0,007024;0,008212;0,008962;0,012300;0,013637;0,015375;0,015178;0,016157;0,017683
385,500000;0,007512;0,006649;0,007775;0,007464;0,011722;0,012734;0,013647;0,015171;0,016861;0,017719
386,000000;0,006262;0,005614;0,006517;0,006770;0,010068;0,010509;0,012133;0,013291;0,015566;0,016193
386,500000;0,005768;0,005154;0,006155;0,007436;0,009083;0,009482;0,012207;0,011414;0,013815;0,014838
387,000000;0,005993;0,006161;0,008285;0,009005;0,010319;0,011748;0,014060;0,012202;0,014387;0,016015
387,500000;0,007302;0,007029;0,009824;0,009757;0,011532;0,013740;0,014516;0,014141;0,015656;0,017358
388,000000;0,008919;0,006647;0,008873;0,008811;0,011191;0,012927;0,012589;0,014984;0,015820;0,017075
388,500000;0,008186;0,005773;0,007438;0,007203;0,010509;0,010922;0,012073;0,013234;0,014722;0,016289
389,000000;0,006405;0,005150;0,006594;0,006408;0,009954;0,009532;0,012801;0,010996;0,013230;0,015501
389,500000;0,006902;0,005140;0,006346;0,007363;0,009307;0,009841;0,011999;0,011726;0,012524;0,014628
390,000000;0,007376;0,004811;0,006034;0,007180;0,008624;0,009867;0,010455;0,012243;0,011930;0,013973
390,500000;0,006168;0,004003;0,005601;0,004891;0,008170;0,008617;0,009629;0,010250;0,011214;0,013783
391,000000;0,006220;0,004691;0,006407;0,005319;0,008379;0,008756;0,009962;0,009203;0,011976;0,013920
391,500000;0,007176;0,006153;0,007190;0,007836;0,008653;0,009936;0,010876;0,009892;0,013272;0,013909
392,000000;0,006305;0,005851;0,005423;0,007794;0,008018;0,009621;0,011196;0,010602;0,012583;0,013265
392,500000;0,005385;0,004773;0,004360;0,006498;0,008209;0,008949;0,010564;0,011053;0,011363;0,012794
393,000000;0,006114;0,004351;0,006392;0,006090;0,010036;0,009261;0,009516;0,011397;0,011288;0,013139
393,500000;0,006652;0,004314;0,007811;0,005983;0,010351;0,009551;0,009820;0,011559;0,011556;0,013631
394,000000;0,006371;0,004427;0,007364;0,005948;0,009000;0,009166;0,011058;0,011430;0,011641;0,013753
394,500000;0,006081;0,004622;0,006766;0,006250;0,008570;0,008200;0,011007;0,010934;0,011537;0,013376
395,000000;0,005583;0,004344;0,006634;0,005953;0,007837;0,007500;0,010055;0,010221;0,010833;0,012786
395,500000;0,004781;0,003390;0,006853;0,004600;0,005845;0,007728;0,009299;0,009571;0,009704;0,012314
396,000000;0,004929;0,002961;0,006681;0,004195;0,006205;0,008332;0,008929;0,009350;0,010188;0,012008
396,500000;0,006146;0,003544;0,006370;0,005283;0,008667;0,008831;0,009233;0,009482;0,011746;0,012051
397,000000;0,007150;0,004496;0,006972;0,006416;0,008771;0,009081;0,010474;0,009434;0,011322;0,012620
397,500000;0,007009;0,004423;0,006838;0,006283;0,007527;0,009014;0,010996;0,009046;0,010059;0,012519
398,000000;0,005586;0,002752;0,004650;0,004660;0,007236;0,008552;0,009531;0,008514;0,009935;0,011015
398,500000;0,004466;0,002092;0,003516;0,004069;0,006600;0,007536;0,008405;0,008526;0,009801;0,010412
399,000000;0,004733;0,003141;0,004484;0,005029;0,005485;0,006596;0,008601;0,008935;0,009343;0,011283
399,500000;0,006325;0,003833;0,005373;0,005323;0,005645;0,007042;0,008829;0,008656;0,009706;0,011683
400,000000;0,007345;0,003701;0,005316;0,004673;0,006439;0,007803;0,008583;0,008017;0,010189;0,011296
