;0;300;600;900;1200;1500;1800
377,500000;0,035929;0,038623;0,040472;0,043315;0,045727;0,047060;0,048444
378,000000;0,034693;0,037925;0,039070;0,042243;0,045461;0,047201;0,048766
378,500000;0,034621;0,037336;0,039255;0,040259;0,044115;0,046468;0,048408
379,000000;0,035116;0,036790;0,040373;0,039392;0,042911;0,045360;0,047817
379,500000;0,034731;0,036056;0,040685;0,040575;0,042745;0,044445;0,047523
380,000000;0,033458;0,035938;0,039271;0,040882;0,042385;0,043785;0,047031
380,500000;0,032322;0,036527;0,037337;0,039865;0,041865;0,043568;0,046252
381,000000;0,032938;0,036977;0,037774;0,040141;0,042683;0,044053;0,045661
381,500000;0,034166;0,036849;0,038825;0,040735;0,043506;0,044031;0,045001
382,000000;0,034271;0,036215;0,037965;0,039888;0,042582;0,042558;0,044089
382,500000;0,033925;0,035956;0,037427;0,039073;0,041264;0,041651;0,044071
383,000000;0,033804;0,036218;0,037937;0,039178;0,040703;0,042186;0,044999
383,500000;0,033914;0,036040;0,037391;0,039506;0,040930;0,042863;0,045293
384,000000;0,033485;0,034709;0,036000;0,038583;0,040643;0,042041;0,044166
384,500000;0,031991;0,032413;0,035064;0,035927;0,038814;0,039198;0,041945
385,000000;0,031226;0,031805;0,034663;0,035810;0,037937;0,038107;0,040993
385,500000;0,031651;0,033340;0,034635;0,038503;0,038750;0,039867;0,041866
386,000000;0,031314;0,033817;0,034854;0,037646;0,038601;0,040641;0,042085
386,500000;0,031170;0,033366;0,035043;0,034846;0,037978;0,039767;0,041605
387,000000;0,033018;0,033827;0,034914;0,035298;0,038634;0,038775;0,041635
387,500000;0,034043;0,034597;0,034591;0,036877;0,038610;0,038791;0,041532
388,000000;0,032711;0,034694;0,034252;0,037102;0,036903;0,039555;0,040685
388,500000;0,031536;0,033657;0,034017;0,036118;0,035628;0,038863;0,039395
389,000000;0,031487;0,032498;0,034131;0,034946;0,035796;0,037265;0,038737
